ope6_id,name,city,state,zip,college_url,ownership,locale,carnegie_basic,acceptance_rate,sat_25,sat_75,sat_math_25,sat_math_75,sat_cr_25,sat_cr_75,sat_avg,sat_range,act_25,act_75,act_mid,act_range,enrollment,retention_rate,student_faculty_ratio,pct_men,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_two_or_more,tuition_in_state,tuition_out_state,net_price,cost_attendance,median_debt,pell_rate,loan_rate,grad_rate,earnings_6yr,earnings_8yr,earnings_10yr
002477,A T Still University of Health Sciences,Kirksville,MO,63501,www.atsu.edu/,Private,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123700,,
025175,Aaniiih Nakoda College,Harlem,MT,59526,www.ancollege.edu/,Public,Rural,33,,,,,,,,,,,,,,108,,10,46.3,53.7,6.5,0.0,0.0,0.0,0.0,3600,3600,11811,16133,,53.5,0.0,30.6,17600,26949,30528
003537,Abilene Christian University,Abilene,TX,79699,www.acu.edu/,Private,City,17,63.9,1060,1290,520,640,540,650,1189,1060-1290,22,28,25,22-28,3129,79.5,13,40.2,59.8,62.6,6.8,18.0,1.9,4.5,42380,42380,27401,56121,24250,22.0,42.2,60.3,38900,52257,55736
001541,Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,https://www.abac.edu/,Public,Town,23,77.2,900,1110,430,540,470,570,994,900-1110,16,21,19,16-21,3218,69.2,23,40.6,59.5,78.6,7.5,10.3,0.8,1.5,3195,10101,6061,13103,16750,34.1,26.8,34.7,29100,35026,34996
042438,Abraham Lincoln University,Glendale,CA,91210,https://www.alu.edu/,For-Profit,City,31,,,,,,,,,,,,,,49,100.0,5,46.9,53.1,44.9,12.2,22.4,4.1,6.1,10440,10440,24825,31720,,48.9,48.9,,,,
020503,Academy College,Bloomington,MN,55431-1411,www.academycollege.edu/,For-Profit,City,28,,,,,,,,,,,,,,112,66.7,8,87.5,12.5,0.0,0.0,0.9,0.9,0.0,18252,18252,31307,34240,29500,32.4,54.9,,31300,45488,48300
041335,Academy for Five Element Acupuncture,Gainesville,FL,32601,www.acupuncturist.edu/,Private,City,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042936,Academy for Jewish Religion,Yonkers,NY,10701,https://ajr.edu/,Private,Suburb,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041555,Academy for Jewish Religion California,Los Angeles,CA,90045,www.ajrca.edu/,Private,City,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033463,Academy for Nursing and Health Occupations,West Palm Beach,FL,33417,www.anho.edu/,Private,Suburb,10,,,,,,,,,,,,,,559,,25,9.5,90.5,7.7,82.3,7.5,1.1,0.7,,,29971,,20293,53.0,62.0,,32300,46813,47039
007531,Academy of Art University,San Francisco,CA,94105,www.academyart.edu/,For-Profit,City,18,,,,,,,,,,,,,,4131,67.2,15,42.2,57.8,25.8,11.7,20.0,6.5,6.0,28024,28024,39778,47195,31000,41.8,50.5,42.4,32800,35980,39008
032883,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,www.acchs.edu/,Private,City,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042484,Academy of Interactive Entertainment,Lafayette,LA,70506-4293,lafayette.aie.edu/,Private,City,-2,80.0,,,,,,,,,,,,,113,,20,61.1,38.9,51.3,36.3,1.8,1.8,4.4,24600,24600,33319,36693,12000,47.9,42.5,,,,
033533,Academy of Vocal Arts,Philadelphia,PA,19103-6685,www.avaopera.org/,Private,City,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033274,Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,https://www.aimc.edu/,Private,City,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001345,Adams State University,Alamosa,CO,81101,www.adams.edu/,Public,,18,,,,,,,,,,,,21,,1239,55.5,14,54.6,45.4,36.2,8.2,37.0,0.6,5.4,9776,21848,14173,23800,19500,35.0,33.4,29.7,28800,43072,44372
002666,Adelphi University,Garden City,NY,11530-0701,www.adelphi.edu/,Private,Suburb,17,77.5,1140,1310,560,660,580,650,1224,1140-1310,24,30,26,24-30,5077,83.0,12,33.8,66.2,43.5,9.3,21.3,12.9,3.3,47290,47290,28348,57444,25000,29.4,59.5,68.2,49400,71399,75482
030519,Adler Graduate School,Minnetonka,MN,55343,www.alfredadler.edu/,Private,City,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020681,Adler University,Chicago,IL,60602,https://www.adler.edu/,Private,City,26,,,,,,,,,,,,,,9,,1,100.0,0.0,77.8,22.2,0.0,0.0,0.0,,,,,,,,,,,
002234,Adrian College,Adrian,MI,49221-2575,www.adrian.edu/,Private,Town,22,68.4,880,1120,425,550,455,570,1030,880-1120,18,26,22,18-26,1635,60.1,15,54.3,45.7,61.7,6.5,6.7,0.7,3.9,40556,40556,21504,54950,27000,31.1,70.3,53.4,34000,47820,55504
037573,Advance Science International College,Miami Lakes,FL,33014,www.asicollege.edu/,For-Profit,Suburb,10,,,,,,,,,,,,,,44,,15,22.7,77.3,0.0,0.0,100.0,0.0,0.0,,,31336,,,58.7,63.0,,18100,27261,24047
031155,AdventHealth University,Orlando,FL,32803,www.ahu.edu/,Private,City,26,,,,,,,,,,,,,,1068,48.4,6,14.7,85.3,30.9,17.1,37.1,4.0,2.8,20880,20880,31885,38194,24590,37.4,49.6,44.5,53500,68561,72282
001542,Agnes Scott College,Decatur,GA,30030-3770,www.agnesscott.edu/,Private,Suburb,21,67.3,1180,1350,570,640,610,710,1296,1180-1350,26,31,,26-31,898,80.1,10,0.0,100.0,40.1,31.4,13.9,4.5,6.3,48150,48150,24224,60585,26749,36.1,52.8,73.8,33200,50997,56274
003009,Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,45433-7765,www.afit.edu/,Public,Suburb,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001002,Alabama A & M University,Normal,AL,35762,www.aamu.edu/,Public,City,18,66.2,810,1060,390,520,420,540,947,810-1060,14,19,18,14-19,5726,63.9,19,41.7,58.3,1.8,90.4,1.5,0.2,1.8,10024,18634,14559,23751,31000,64.4,58.6,27.7,28400,31992,40628
042267,Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,https://www.acom.edu/,Private,City,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001005,Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,Public,City,17,95.6,865,1069,421,531,444,538,977,865-1069,16,20,18,16-20,3322,60.5,16,36.2,63.8,2.2,90.8,1.1,0.2,1.3,11248,19576,13889,22028,31000,72.0,77.8,28.8,24400,32520,34502
005463,Alamance Community College,Graham,NC,27253-8000,www.alamancecc.edu/,Public,Suburb,6,,,,,,,,,,,,,,2393,,13,38.3,61.7,46.1,18.6,20.8,2.0,2.5,2528,8642,16465,22570,,24.6,0.0,,23900,32465,34241
008843,Alaska Bible College,Palmer,AK,99645,https://www.akbible.edu/,Private,Suburb,24,,,,,,,,,,,,,,34,33.3,5,55.9,44.1,85.3,2.9,2.9,0.0,8.8,10930,10930,14093,22101,,48.7,12.8,,,,
041386,Alaska Christian College,Soldotna,AK,99669,www.alaskacc.edu/,Private,Rural,1,89.4,,,,,,,,,,,,,60,,5,30.0,70.0,8.3,0.0,0.0,0.0,5.0,9014,9014,5427,22858,,77.6,0.0,,,19021,25787
001061,Alaska Pacific University,Anchorage,AK,99508,www.alaskapacific.edu/,Private,City,22,86.2,,,,,,,,,,,,,400,68.2,8,27.5,72.5,33.2,2.8,9.0,7.0,11.5,20760,20760,18976,34964,23500,34.4,41.9,41.2,37500,45907,54271
002885,Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,www.acphs.edu/,Private,City,26,59.1,1120,1380,560,700,560,680,1280,1120-1380,28,33,30,28-33,509,85.6,10,37.9,62.1,43.0,10.2,8.6,19.1,7.9,40375,40375,26027,52317,25500,29.3,88.0,65.5,94500,125222,131426
002886,Albany Law School,Albany,NY,12208,www.albanylaw.edu/,Private,City,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75700,,
002887,Albany Medical College,Albany,NY,12208-3479,www.amc.edu/,Private,City,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89700,,
001544,Albany State University,Albany,GA,31705,https://www.asurams.edu/,Public,City,19,,,,,,,,,,,,,,5829,78.4,20,26.1,73.9,6.7,82.5,4.3,0.3,2.0,5934,16656,14251,20574,25024,65.0,62.4,24.7,27100,37817,40674
