OPE6_ID,INSTNM,CONTROL,CIP4,CIPCODE,CIPDESC,Program_Normalized,CREDLEV,IPEDSCOUNT2,EARN_MDN_1YR,EARN_MDN_4YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,DEBT_ALL_STGP_EVAL_MDN
1002,Alabama A & M University,Public,11.01,1101,"Computer and Information Sciences, General.",Computer Science,3,37,63900,68138,85218,26,30100
1002,Alabama A & M University,Public,13.12,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",Teacher Education,3,8,,,,,
1002,Alabama A & M University,Public,13.13,1313,"Teacher Education and Professional Development, Specific Subject Areas.",Teacher Education,3,2,,38288,44468,26,
1002,Alabama A & M University,Public,14.08,1408,Civil Engineering.,Civil Engineering,3,7,,,,,
1002,Alabama A & M University,Public,14.1,1410,"Electrical, Electronics and Communications Engineering.",Electrical Engineering,3,20,72241,75489,90409,28,32500
1002,Alabama A & M University,Public,14.19,1419,Mechanical Engineering.,Mechanical Engineering,3,41,71954,70527,82929,20,27100
1002,Alabama A & M University,Public,23.01,2301,"English Language and Literature, General.",English,3,6,,,,,
1002,Alabama A & M University,Public,24.01,2401,"Liberal Arts and Sciences, General Studies and Humanities.",Liberal Arts,3,13,28877,39750,46627,20,31000
1002,Alabama A & M University,Public,26.01,2601,"Biology, General.",Biology,3,95,29098,38526,40721,29,27011
1002,Alabama A & M University,Public,27.01,2701,Mathematics.,Mathematics,3,5,,,,,
1002,Alabama A & M University,Public,31.05,3105,Health and Physical Education/Fitness.,Health and Fitness,3,10,,,,,32737
1002,Alabama A & M University,Public,40.05,4005,Chemistry.,Chemistry,3,3,,,,,
1002,Alabama A & M University,Public,42.01,4201,"Psychology, General.",Psychology,3,40,26504,41597,41798,,25500
1002,Alabama A & M University,Public,43.01,4301,Criminal Justice and Corrections.,Criminal Justice,3,31,31682,41331,45437,17,30500
1002,Alabama A & M University,Public,44.07,4407,Social Work.,Social Work,3,23,,39630,51819,22,30000
1002,Alabama A & M University,Public,45.1,4510,Political Science and Government.,Political Science,3,11,,,,,
1002,Alabama A & M University,Public,45.11,4511,Sociology.,Sociology,3,3,,,,,
1002,Alabama A & M University,Public,50.07,5007,Fine and Studio Arts.,Art,3,2,,,,,
1002,Alabama A & M University,Public,50.09,5009,Music.,Music,3,11,,,,,
1002,Alabama A & M University,Public,52.02,5202,"Business Administration, Management and Operations.",Business Administration,3,59,40183,51283,54650,47,30000
